title,platform,active,github,featured,featured_description,featured_icon
File Hasher,PHP,1,https://github.com/kduma-OSS/PHP-file-hasher,,,
File Hasher,C#,1,https://github.com/kduma-OSS/CS-file-hasher,,,
File Hasher,Python,0,https://github.com/kduma-OSS/PY-file-hasher,,,
emSzmal Banking API wrapper,PHP,1,https://github.com/kduma-OSS/L5-emSzmal-api,,,
Laravel SOAP service server,Laravel,1,https://github.com/kduma-OSS/laravel-soap-server,,,
Content Negotiable Responses,Laravel,1,https://github.com/kduma-OSS/L5-content-negotiable-responses,1,Laravel helpers for creating content-type negotiable responses,material-symbols:merge-type
Eloquent Sluggable,Laravel,1,https://github.com/kduma-OSS/L5-eloquent-sluggable,,,
Eloquent Encryptable,Laravel,1,https://github.com/kduma-OSS/L5-eloquent-encryptable,,,
Diceware pass phrase generator,Laravel,1,https://github.com/kduma-OSS/L5-passphrase-generator,,,
Bulk PDF Document Generator,PHP,1,https://github.com/kduma-OSS/PHP-bulk-generator,2,Bulk PDF Document Generator,carbon:document-pdf
PDF Imposition Toolkit,PHP,1,https://github.com/kduma-OSS/PHP-pdf-imposition,3,PDF Imposition Toolkit,fluent:document-page-break-20-regular
Signed Document,PHP,1,https://github.com/kduma-OSS/PHP-signed-document,,,
An SMS sender for Laravel with Notification Channel,Laravel,1,https://github.com/kduma-OSS/L5-SMS,,,
An SerwerSMS.pl driver for kduma/sms package,Laravel,1,https://github.com/kduma-OSS/L5-SMS-Driver-SerwerSMS,,,
An JustSend.pl driver for kduma/sms package,Laravel,1,https://github.com/kduma-OSS/L5-SMS-Driver-JustSend,,,
Polish Validation rules for Laravel Validator,Laravel,1,https://github.com/kduma-OSS/L5-polish-validator-rules,,,
Partial Key Verification Compact Framework,C#,1,https://github.com/kduma-OSS/CS-Partial-Key-Verification-Compact-Framework,,,
PHP LPD Client and Server,PHP,1,https://github.com/kduma-OSS/PHP-LPD,,,
Simple package to provide Roles and Permissions to Laravel,Laravel,0,https://github.com/kduma-OSS/LV-permissions,,,
Laravel command to create/fill missing fields in .env file based on rules in .env.example file.,Laravel,0,https://github.com/kduma-OSS/LV-dotenv-filler,,,
Laravel queue runner for webcron (with runtime limit),Laravel,0,https://github.com/kduma-OSS/LV-cron,,,
